,price,price_log,sqft_above,sqft_above_log,sqft_lot,sqft_lot_log,sqft_living15,sqft_living15_log,sqft_lot15,age,bedrooms,bathrooms,floors,water_1.0,base_1.0,reno_1.0,cond_2.0,cond_3.0,cond_4.0,cond_5.0,zip_A,zip_B,zip_C,zip_D,zip_E,zip_F,zip_G,zip_H,zip_I
11317,300000.0,12.611537753638338,1330,7.1929342212158,8750,9.07680897935166,1790,7.489970898834801,8750,48,4,1.75,1.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
6385,303000.0,12.621488084491506,840,6.733401891837359,1075,6.980075940561763,1000,6.907755278982137,1083,8,2,1.5,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
19662,425000.0,12.959844447906553,940,6.84587987526405,1230,7.114769448366463,1400,7.24422751560335,1230,6,3,2.25,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20652,430100.0,12.971773018771827,940,6.84587987526405,1078,6.982862751468942,1420,7.258412150595307,1230,6,3,2.25,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
21588,429000.0,12.969212197910155,1490,7.306531398939505,1126,7.026426808699636,1400,7.24422751560335,1230,1,3,2.0,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20005,429900.0,12.971307902484373,1490,7.306531398939505,1286,7.1592919047975645,1420,7.258412150595307,1230,1,3,2.0,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
19123,276000.0,12.528156144699286,820,6.709304340258298,2676,7.892078421248119,1500,7.313220387090301,1719,11,2,1.0,1.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6806,385000.0,12.86099861326992,620,6.429719478039138,5100,8.536995818712418,1540,7.3395376954076745,2676,61,1,1.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20105,635000.0,13.36138027787483,1940,7.570443252057374,3091,8.036249942132116,1560,7.352441100243583,4080,1,4,2.5,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6243,332500.0,12.714395139078047,1440,7.272398392570047,4855,8.487764380725425,1300,7.170119543449628,4080,43,4,2.0,2.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
18654,495000.0,13.112313041550827,1520,7.326465613840322,4080,8.313852267398207,1320,7.1853870155804165,4080,67,3,3.0,2.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5615,385000.0,12.86099861326992,870,6.76849321164863,4080,8.313852267398207,1320,7.1853870155804165,4080,31,4,1.75,1.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
18241,330000.0,12.706847933442663,1170,7.064759027791802,4080,8.313852267398207,1670,7.4205789054108005,4080,108,3,2.25,1.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1085,550000.0,13.217673557208654,1040,6.946975992135418,4080,8.313852267398207,1340,7.200424892944957,4080,53,4,2.5,1.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
18130,760000.0,13.541073712262515,2420,7.791522819150732,4060,8.308938252595778,1720,7.450079569807499,4080,23,4,3.5,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5723,615000.0,13.329377546788654,960,6.866933284461882,4080,8.313852267398207,1660,7.414572881350589,4080,91,3,1.75,1.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
14752,390000.0,12.873902018105829,950,6.856461984594587,3621,8.19450550976564,1540,7.3395376954076745,4080,68,3,1.0,1.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
10141,670000.0,13.415032991367148,1220,7.106606137727303,4080,8.313852267398207,1320,7.1853870155804165,4080,101,3,1.5,1.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
18752,607000.0,13.316284070041636,1060,6.966024187106113,4080,8.313852267398207,1400,7.24422751560335,4080,94,3,2.0,1.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
15185,350000.0,12.765688433465597,1090,6.993932975223189,3876,8.262558973010657,1360,7.215239978730097,4080,111,3,1.0,1.5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4041,704300.0,13.464959680733502,1790,7.489970898834801,4080,8.313852267398207,1710,7.444248649496705,4080,87,4,1.5,1.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
11849,530000.0,13.180632285528304,1240,7.122866658599083,4080,8.313852267398207,1420,7.258412150595307,4080,101,3,1.5,1.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11912,1440000.0,14.180153671552183,2720,7.908387159290043,5000,8.517193191416238,2610,7.867105500316739,5000,110,4,3.0,2.5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4807,2480000.0,14.723769118141165,6110,8.71768205216564,7500,8.922658299524402,2660,7.886081401775745,7500,93,5,3.75,2.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6263,670000.0,13.415032991367148,1280,7.154615356913663,1438,7.271008538280992,1490,7.306531398939505,1439,12,3,2.5,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20838,690000.0,13.444446876573442,1780,7.484368643286131,1756,7.470793774195062,1955,7.578145472419466,1438,10,2,2.5,3.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
19651,1450000.0,14.187074114396758,2860,7.958576903813898,2199,7.695757990554761,1990,7.595889917718538,1378,2,4,3.5,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
19742,2250000.0,14.626440774180603,2890,7.969011781106478,3452,8.146709052203319,2860,7.958576903813898,2199,9,3,3.25,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3853,525000.0,13.17115354157376,1710,7.444248649496705,7440,8.914626127827137,1260,7.138866999945524,6765,68,3,3.25,2.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
4924,653000.0,13.389332408258568,3040,8.019612794400267,5067,8.53050420547591,1820,7.506591780070841,5998,22,3,3.0,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
14836,389000.0,12.871334622600584,1160,7.05617528410041,4848,8.48632152774915,1990,7.595889917718538,7440,66,2,1.75,2.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
14282,783500.0,13.571526340778213,1990,7.595889917718538,7130,8.872066513408342,2280,7.731930721948486,6459,35,3,2.5,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
18640,1390000.0,14.144814305106875,2400,7.783224016336037,6653,8.802823159741887,1910,7.554858521040676,6653,23,3,1.25,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
8372,771000.0,13.555443652545467,1390,7.237059026124737,6120,8.719317375506371,1960,7.580699752224563,5568,88,3,2.25,1.5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
3128,759000.0,13.539757056377766,1960,7.580699752224563,6390,8.762489547371581,2440,7.799753318287247,5870,115,3,2.75,1.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17697,990000.0,13.805460222110773,2370,7.7706452341291765,6350,8.756210091886738,2090,7.644919344958857,5454,36,3,2.75,2.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2616,1170000.0,13.972514306773938,2810,7.940939762327791,5001,8.517393171418904,2500,7.824046010856292,6286,26,3,3.0,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3316,921000.0,13.733215315237445,2010,7.605890001053122,5362,8.587092318795905,2530,7.835974581721566,5960,87,4,2.5,2.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
14366,765000.0,13.547631112808673,1050,6.956545443151569,7000,8.85366542803745,1990,7.595889917718538,6675,44,3,2.0,2.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
5822,1700000.0,14.346138809026444,1930,7.5652752818989315,6600,8.794824928014517,2670,7.8898337513942955,6270,45,3,2.0,2.0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
19966,495000.0,13.112313041550827,1000,6.907755278982137,1010,6.917705609835305,1200,7.090076835776092,1170,9,2,2.25,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
15729,700000.0,13.458835614025542,2420,7.791522819150732,520,6.253828811575473,1200,7.090076835776092,1170,115,4,1.75,1.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5224,760000.0,13.541073712262515,1920,7.560080465021827,2992,8.003697339094368,1200,7.090076835776092,1209,84,5,1.5,1.5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
19808,730000.0,13.500799813124575,1240,7.122866658599083,1290,7.162397497355718,1710,7.444248649496705,1525,5,3,2.5,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2853,582000.0,13.274225726713574,1427,7.2633296174768365,1189,7.080867896690782,1700,7.438383530044307,1401,15,4,3.0,3.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20340,359950.0,12.793720411897448,893,6.794586580876499,965,6.872128101338986,1340,7.200424892944957,1436,8,2,1.5,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
8965,482500.0,13.086736199761178,980,6.887552571664617,1445,7.275864600546533,1510,7.31986492980897,1370,10,3,2.25,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
18921,507000.0,13.13626628257332,1020,6.927557906278317,956,6.862757913051401,1510,7.31986492980897,1350,10,4,2.25,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20203,515000.0,13.151922179645874,1060,6.966024187106113,1178,7.071573364211532,1510,7.31986492980897,1210,8,3,2.5,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
17930,906000.0,13.716794585025117,2030,7.615791072035833,1800,7.495541943884256,1450,7.27931883541462,1441,2,3,2.5,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
495,490000.0,13.102160670086809,870,6.76849321164863,1391,7.237778191923443,1240,7.122866658599083,1350,11,2,2.5,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11557,479000.0,13.079455876393052,1020,6.927557906278317,932,6.837332814685591,1230,7.114769448366463,1064,11,2,2.25,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
8757,460000.0,13.038981768465277,1020,6.927557906278317,929,6.834108738813838,1270,7.146772179452637,1370,11,2,2.25,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20417,525000.0,13.17115354157376,1010,6.917705609835305,1161,7.057036981697891,1680,7.426549072397305,1177,7,3,2.5,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20776,699999.0,13.458834185453092,950,6.856461984594587,1085,6.98933526597456,1580,7.365180126021013,1202,1,2,2.0,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20602,610000.0,13.321214236149494,780,6.659293919683638,740,6.606650186198215,1480,7.299797366758161,1171,1,2,2.0,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
15655,570000.0,13.253391639810733,760,6.633318433280377,690,6.536691597591305,1480,7.299797366758161,1171,1,2,2.0,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3325,487028.0,13.09607689527849,1105,7.007600613951853,1093,6.996681488176539,1295,7.166265974133638,1413,8,2,1.5,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
13355,520000.0,13.16158409055761,1480,7.299797366758161,1165,7.060476365999801,1480,7.299797366758161,1231,9,3,2.5,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
19594,500000.0,13.122363377404328,1480,7.299797366758161,1171,7.065613363597717,1480,7.299797366758161,1231,9,3,2.5,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4450,500000.0,13.122363377404328,1140,7.038783541388542,1236,7.119635638017636,1620,7.3901814282264295,1231,9,3,2.25,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3720,579000.0,13.269057756555132,1640,7.402451520818244,1269,7.1459844677143876,1590,7.371489295214277,1231,6,3,2.5,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
14062,640000.0,13.369223455335854,1100,7.003065458786462,1377,7.227662498728654,1620,7.3901814282264295,1251,6,3,2.5,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
14889,638000.0,13.366093562326927,1410,7.251344983372214,1587,7.369600720526409,1490,7.306531398939505,1620,11,3,3.25,2.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
18218,581000.0,13.272506035834049,1630,7.396335293800808,2566,7.850103545175582,1220,7.106606137727303,2314,94,4,1.0,1.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3250,439000.0,12.992254692057308,790,6.672032945461067,2400,7.783224016336037,1580,7.365180126021013,2566,97,1,1.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
9614,358000.0,12.788288265382837,960,6.866933284461882,1808,7.4999765409521215,1290,7.162397497355718,1668,22,2,1.5,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2992,570000.0,13.253391639810733,1060,6.966024187106113,1657,7.4127640174265625,1540,7.3395376954076745,2275,11,3,2.0,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
13169,600000.0,13.304684934198283,970,6.877296071497429,4800,8.476371196895983,1500,7.313220387090301,2042,65,3,1.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
18228,480000.0,13.081541382884074,710,6.565264970035361,4800,8.476371196895983,1480,7.299797366758161,1721,65,2,1.0,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
10643,489000.0,13.10011776845701,1050,6.956545443151569,972,6.879355804460439,1480,7.299797366758161,1430,9,2,2.75,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
14769,465000.0,13.049792684569493,995,6.902742737158593,1425,7.261927092702751,1500,7.313220387090301,1749,9,2,2.75,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
18470,529000.0,13.178743710840436,990,6.897704943128636,3400,8.131530710604252,1880,7.539027055823995,4212,108,3,2.0,1.0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
5865,399000.0,12.896716695872,700,6.551080335043404,3400,8.131530710604252,1570,7.358830898342354,4512,69,2,1.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
14645,525000.0,13.17115354157376,1120,7.02108396428914,2350,7.762170607138205,1750,7.4673710669175595,3802,19,3,2.5,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
19281,585000.0,13.279367126213993,1130,7.029972911706386,2350,7.762170607138205,1740,7.461640392208575,3201,20,3,2.5,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
9408,375000.0,12.834681304952548,1630,7.396335293800808,5200,8.556413904569519,1470,7.293017679772782,3775,61,3,2.0,1.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20495,772000.0,13.556739829006913,1640,7.402451520818244,1204,7.093404625868766,1630,7.396335293800808,3136,1,3,2.25,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
19992,759000.0,13.539757056377766,1640,7.402451520818244,1873,7.5352967024440884,1640,7.402451520818244,3920,1,3,2.25,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
19911,360000.0,12.793859310432293,880,6.779921907472252,1165,7.060476365999801,1640,7.402451520818244,3825,10,2,1.0,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
19013,295000.0,12.594730635321957,650,6.476972362889683,5400,8.594154232552366,1310,7.177782416195197,4906,65,2,1.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
12715,747000.0,13.523820464114955,1280,7.154615356913663,4800,8.476371196895983,1620,7.3901814282264295,4800,104,3,1.75,1.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3749,549000.0,13.215853720491667,1140,7.038783541388542,5400,8.594154232552366,1520,7.326465613840322,4800,107,2,1.0,1.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
11899,900000.0,13.710150042306449,1540,7.3395376954076745,8400,9.035986984831405,1330,7.1929342212158,4800,113,3,1.75,1.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
17286,669000.0,13.413539339110365,1560,7.352441100243583,4500,8.411832675758411,1530,7.333023014386481,4500,100,3,1.0,1.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1276,831000.0,13.630385073837585,1610,7.383989457978509,4000,8.294049640102028,1670,7.4205789054108005,4000,33,4,3.0,2.0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
7267,440000.0,12.994530005894443,1040,6.946975992135418,4000,8.294049640102028,1170,7.064759027791802,4000,65,3,1.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1082,490000.0,13.102160670086809,1420,7.258412150595307,3400,8.131530710604252,1940,7.570443252057374,4000,86,3,1.5,1.5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
11261,436000.0,12.985397522331171,790,6.672032945461067,6600,8.794824928014517,1520,7.326465613840322,4400,66,2,1.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2557,890000.0,13.698976741708323,1260,7.138866999945524,4400,8.389359819906353,1770,7.478734825567875,4400,95,4,2.75,1.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3957,665000.0,13.407542319637992,1320,7.1853870155804165,4400,8.389359819906353,1430,7.265429723253953,4400,94,4,3.0,1.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
10700,428000.0,12.966878474563934,1300,7.170119543449628,7200,8.881836305004146,1540,7.3395376954076745,6600,57,4,2.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
10949,360000.0,12.793859310432293,640,6.461468176353717,3870,8.261009786023827,1280,7.154615356913663,4800,70,3,1.0,1.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
19596,812000.0,13.607255619143816,2040,7.620705086838262,4559,8.424858580213442,1500,7.313220387090301,4500,17,3,2.5,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
9512,615000.0,13.329377546788654,880,6.779921907472252,2400,7.783224016336037,1220,7.106606137727303,4440,86,2,1.5,1.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7578,387500.0,12.86747112777554,1320,7.1853870155804165,4440,8.39840965542627,1260,7.138866999945524,4440,86,4,1.0,1.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
19722,299000.0,12.608198852372823,830,6.721425700790643,1276,7.151485463904735,1540,7.3395376954076745,1484,10,2,1.5,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7984,622000.0,13.340695371721317,1650,7.408530566894626,3150,8.055157731819678,1650,7.408530566894626,4500,86,3,1.5,1.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
14161,427500.0,12.965709567358951,1480,7.299797366758161,4200,8.34283980427146,1460,7.286191714702382,3600,90,3,1.0,1.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
18589,815000.0,13.610943392223,1400,7.24422751560335,4800,8.476371196895983,1620,7.3901814282264295,2595,29,4,2.0,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
8281,650000.0,13.38472764187182,880,6.779921907472252,2542,7.8407064517494,1620,7.3901814282264295,1809,111,2,1.0,1.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
10880,440000.0,12.994530005894443,1120,7.02108396428914,1024,6.931471805599453,1120,7.02108396428914,1549,45,2,1.5,2.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
7027,631000.0,13.35506114152335,1930,7.5652752818989315,3240,8.083328608786376,1480,7.299797366758161,3600,104,4,2.0,1.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
6932,591000.0,13.289571296388235,870,6.76849321164863,2400,7.783224016336037,1440,7.272398392570047,3600,93,3,1.75,1.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6080,330000.0,12.706847933442663,860,6.756932389247553,4800,8.476371196895983,1380,7.22983877815125,4800,108,1,1.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6339,260000.0,12.468436909997665,700,6.551080335043404,4800,8.476371196895983,1440,7.272398392570047,4800,93,2,1.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11815,370000.0,12.821258284620408,750,6.620073206530356,2020,7.61085279039525,1630,7.396335293800808,2383,107,2,1.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2821,425000.0,12.959844447906553,1180,7.07326971745971,1800,7.495541943884256,1500,7.313220387090301,1948,21,3,2.0,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11254,549000.0,13.215853720491667,1580,7.365180126021013,3600,8.1886891244442,1750,7.4673710669175595,3600,115,3,2.0,1.5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
6785,390000.0,12.873902018105829,1280,7.154615356913663,1608,7.382746449738912,1940,7.570443252057374,1883,14,3,3.0,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
17989,715000.0,13.480037821676145,900,6.802394763324311,7680,8.946374826141717,1940,7.570443252057374,2880,59,3,1.0,1.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5871,449950.0,13.016891744462095,1880,7.539027055823995,3048,8.022240916806537,1680,7.426549072397305,3600,113,3,2.0,2.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
6284,550000.0,13.217673557208654,1540,7.3395376954076745,4200,8.34283980427146,1590,7.371489295214277,4200,109,3,2.5,1.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
13204,455000.0,13.028052697933088,1510,7.31986492980897,3000,8.006367567650246,1610,7.383989457978509,3600,32,5,2.0,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
12830,498000.0,13.11835535600679,1620,7.3901814282264295,2640,7.878534196140362,1370,7.222566018822171,3840,115,3,2.5,2.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
13461,485000.0,13.091904169919621,1430,7.265429723253953,4096,8.317766166719343,1640,7.402451520818244,3377,115,4,1.75,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
21004,450000.0,13.017002861746503,1200,7.090076835776092,1012,6.919683849847411,1530,7.333023014386481,1425,10,2,1.5,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20507,459000.0,13.036805489042683,1480,7.299797366758161,804,6.6895992691789665,1380,7.22983877815125,1751,7,2,2.0,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
15993,505000.0,13.132313708257497,1760,7.473069088032197,1483,7.301822342137932,1520,7.326465613840322,1173,10,3,2.5,3.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20938,492000.0,13.106233995474446,1420,7.258412150595307,1479,7.2991214627108,1280,7.154615356913663,1253,10,3,2.5,3.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20936,549900.0,13.217491722495906,1040,6.946975992135418,960,6.866933284461882,1280,7.154615356913663,1173,1,3,2.0,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
55,885000.0,13.693342923990066,2830,7.948031990637284,5000,8.517193191416238,1950,7.575584651557793,5000,20,4,2.5,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6822,657500.0,13.396200043034057,1610,7.383989457978509,5000,8.517193191416238,2170,7.682482446534506,5000,103,4,1.5,1.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6298,670000.0,13.415032991367148,1680,7.426549072397305,2000,7.600902459542082,1950,7.575584651557793,5000,106,3,2.5,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6073,1280000.0,14.0623706358958,2530,7.835974581721566,5000,8.517193191416238,2510,7.828038032125829,5000,100,9,4.5,2.0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
